key,español,wayuunaiki_provisional,estado,correccion_local,zona_o_comunidad,observaciones
wayuuLanguageText2,La versión debe revisarse con hablantes Wayuu y expertos locales. Las correcciones comunitarias tienen prioridad sobre este borrador.,"Versión tüü kapülainsü e'rajawaa sümaa wayuu ashajülii otta atüjülii anüiki yaa sulu'u mma. Kasa kapülain nnojotsü traducción pütchi ne'e, aka interfaz anain otta atüjünaka süka wayuukana.",PENDIENTE DE REVISIÓN LOCAL,,,
wayuuLanguagePrincipleTitle,La lengua también pertenece a la comunidad,Anüiki nain wayuukana,PENDIENTE DE REVISIÓN LOCAL,,,
wayuuLanguagePrincipleText,La versión Wayuunaiki es una base de trabajo para revisar y corregir con la comunidad. No debe considerarse validada hasta completar ese proceso.,Wayuunaiki versión tüü wane a'laajawaa. Nnojotsü maa versión shiimüin joolu'u. Ee'iratünü süchiki e'rajawaa sümaa wayuukana otta atüjülii anüiki.,PENDIENTE DE REVISIÓN LOCAL,,,
register,Registrar,Anaajaa,PENDIENTE DE REVISIÓN LOCAL,,,
beforeStart,Antes de comenzar,Palajana aainjaa,PENDIENTE DE REVISIÓN LOCAL,,,
firstRunText,Para documentar una observación necesitamos comprobar algunas funciones del celular. Los registros se guardan primero en este dispositivo.,Süpüla anaajaa e'rajawaa kapülainsü e'rajawaa waneirua akuaippa celular. Anaajünaka eejatü palajana sulu'u dispositivo tüü.,PENDIENTE DE REVISIÓN LOCAL,,,
camera,Cámara,Cámara,PENDIENTE DE REVISIÓN LOCAL,,,
microphone,Micrófono,Micrófono,PENDIENTE DE REVISIÓN LOCAL,,,
localStorage,Almacenamiento local,Anaajawaa sulu'u celular,PENDIENTE DE REVISIÓN LOCAL,,,
activateAndStart,ACTIVAR Y COMENZAR,A'AINJAA OTTA JOO'UYA,PENDIENTE DE REVISIÓN LOCAL,,,
continueWithout,Continuar sin activar ahora,Ayataa nnojotsü aainjaa joolu'u,PENDIENTE DE REVISIÓN LOCAL,,,
gpsReady,Ubicación disponible,Apülee GPS anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
gpsWaiting,Buscando ubicación,Achajünü apülee GPS,PENDIENTE DE REVISIÓN LOCAL,,,
gpsDenied,Permiso rechazado,Permiso nnojotsü akatüin,PENDIENTE DE REVISIÓN LOCAL,,,
gpsUnavailable,Ubicación no disponible,Apülee GPS nnojotsü eewain,PENDIENTE DE REVISIÓN LOCAL,,,
accuracyValue,±{value} m,±{value} m,PENDIENTE DE REVISIÓN LOCAL,,,
altitudeValue,{value} m,{value} m,PENDIENTE DE REVISIÓN LOCAL,,,
headingValue,{value}° {cardinal},{value}° {cardinal},PENDIENTE DE REVISIÓN LOCAL,,,
cameraReady,Cámara disponible,Cámara anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
cameraDenied,Cámara no disponible,Cámara nnojotsü eewain,PENDIENTE DE REVISIÓN LOCAL,,,
microphoneReady,Micrófono disponible,Micrófono anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
microphoneDenied,Micrófono no disponible,Micrófono nnojotsü eewain,PENDIENTE DE REVISIÓN LOCAL,,,
directionReady,Dirección disponible,Dirección anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
directionUnavailable,Dirección no disponible,Dirección nnojotsü eewain,PENDIENTE DE REVISIÓN LOCAL,,,
requiredCategory,Selecciona al menos una opción antes de guardar.,Pünee wane kasa palajana anaajaa.,PENDIENTE DE REVISIÓN LOCAL,,,
saving,Guardando observación,Anaajünü e'rajawaa,PENDIENTE DE REVISIÓN LOCAL,,,
saved,Observación guardada en este dispositivo.,E'rajawaa anaajüsü sulu'u celular tüü.,PENDIENTE DE REVISIÓN LOCAL,,,
saveFailed,No se pudo guardar la observación.,Nnojotsü ainkain anaajaa e'rajawaa.,PENDIENTE DE REVISIÓN LOCAL,,,
noRecords,Todavía no hay registros guardados.,Nnojotsü eewain anaajünaka joolu'u.,PENDIENTE DE REVISIÓN LOCAL,,,
view,Ver,E'raa,PENDIENTE DE REVISIÓN LOCAL,,,
delete,Eliminar,Aakataa,PENDIENTE DE REVISIÓN LOCAL,,,
deleteConfirm,¿Eliminar este registro del dispositivo?,¿Pü'kataa anaajünaka tüü süka celular?,PENDIENTE DE REVISIÓN LOCAL,,,
deleted,Registro eliminado.,Anaajünaka aakatüsü.,PENDIENTE DE REVISIÓN LOCAL,,,
noPosition,Sin posición,Nnojotsü apülee,PENDIENTE DE REVISIÓN LOCAL,,,
permanent,Permanente,Ichee,PENDIENTE DE REVISIÓN LOCAL,,,
mediaCount,{value} evidencias,{value} ayaawase,PENDIENTE DE REVISIÓN LOCAL,,,
noNote,Sin nota,Nnojotsü ashajaa,PENDIENTE DE REVISIÓN LOCAL,,,
precision,Precisión,Pansawaa,PENDIENTE DE REVISIÓN LOCAL,,,
date,Fecha,Akalia,PENDIENTE DE REVISIÓN LOCAL,,,
coordinates,Coordenadas,Coordenadairua,PENDIENTE DE REVISIÓN LOCAL,,,
measurementLabel,Medición,Ayaawataa,PENDIENTE DE REVISIÓN LOCAL,,,
seaLabel,Mar,Palaa,PENDIENTE DE REVISIÓN LOCAL,,,
wavesLabel,Oleaje,A'wanajawaa palaa,PENDIENTE DE REVISIÓN LOCAL,,,
pointLabel,Punto,Apülee,PENDIENTE DE REVISIÓN LOCAL,,,
history,Historial,Achiki anaajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
currentPermanent,Volver a {code},Eitawaa amüin {code},PENDIENTE DE REVISIÓN LOCAL,,,
photoProcessing,Preparando fotografía,Aainjünü ayaakua,PENDIENTE DE REVISIÓN LOCAL,,,
mediaAdded,Evidencia preparada,Ayaawase anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
audioRecording,Grabando audio,Anaajünü audio,PENDIENTE DE REVISIÓN LOCAL,,,
audioStopped,Audio preparado,Audio anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
audioUnsupported,La grabación de audio no está disponible en este navegador.,Navegador tüü nnojotsü ainkain anaajaa audio.,PENDIENTE DE REVISIÓN LOCAL,,,
audioPermission,No se pudo acceder al micrófono.,Nnojotsü ainkain ekerolaa amüin micrófono.,PENDIENTE DE REVISIÓN LOCAL,,,
exportEmpty,No hay registros para exportar.,Nnojotsü anaajünaka süpüla exportar.,PENDIENTE DE REVISIÓN LOCAL,,,
exportReady,Archivo preparado.,Archivo anaasü.,PENDIENTE DE REVISIÓN LOCAL,,,
zipUnavailable,No se pudo crear el paquete ZIP.,Nnojotsü ainkain aainjaa paquete ZIP.,PENDIENTE DE REVISIÓN LOCAL,,,
shareUnavailable,El menú para compartir no admite archivos aquí. Se descargará el paquete.,Menu ajütaa nnojotsü akatüin archivo yaa. Paquete ee'iyalajünü.,PENDIENTE DE REVISIÓN LOCAL,,,
mapUnavailable,El mapa base no está disponible. Se muestra una vista local de los puntos.,Mapa süpüla mma nnojotsü eewain. E'iyatüsü apülee sulu'u vista local.,PENDIENTE DE REVISIÓN LOCAL,,,
installUnavailable,Utiliza el menú del navegador y elige Añadir a pantalla de inicio cuando esté disponible.,Püjütaa menu navegador otta pünee Añadir a pantalla de inicio müleka eewain.,PENDIENTE DE REVISIÓN LOCAL,,,
originalPhoto,Original,Ayaakua palajatü,PENDIENTE DE REVISIÓN LOCAL,,,
documentedPhoto,Documentada,Ayaakua sümaa kasachiki,PENDIENTE DE REVISIÓN LOCAL,,,
video,Vídeo,Video,PENDIENTE DE REVISIÓN LOCAL,,,
audio,Audio,Audio,PENDIENTE DE REVISIÓN LOCAL,,,
close,Cerrar,Asürülaa,PENDIENTE DE REVISIÓN LOCAL,,,
unavailableShort,No disponible,Nnojotsü eewain,PENDIENTE DE REVISIÓN LOCAL,,,
independentLabel,Independiente,Wane'ewaika,PENDIENTE DE REVISIÓN LOCAL,,,
newPermanentLabel,Nuevo punto permanente,Apülee ichee jeketü,PENDIENTE DE REVISIÓN LOCAL,,,
trackingSummaryTitle,Mi seguimiento,Mi seguimiento · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
trackingSummaryIntro,Resumen local del trabajo acumulado en este dispositivo.,Resumen local del trabajo acumulado en este dispositivo. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
trackingRecords,Registros,Registros · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
trackingPoints,Puntos permanentes,Puntos permanentes · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
trackingRevisited,Puntos revisitados,Puntos revisitados · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
trackingReports,Informes,Informes · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
trackingDays,Días de seguimiento documentado,Días de seguimiento documentado · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
trackingLocalOnly,Estas estadísticas se calculan únicamente en este dispositivo. COSTA VIVA no las envía a ningún servidor.,Estas estadísticas se calculan únicamente en este dispositivo. COSTA VIVA no las envía a ningún servidor. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageTitle,Almacenamiento local,Almacenamiento local · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageIntro,Comprueba cuánto trabajo conserva COSTA VIVA en este navegador y cuándo hiciste la última copia completa.,Comprueba cuánto trabajo conserva COSTA VIVA en este navegador y cuándo hiciste la última copia completa. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageUsed,Uso local aproximado,Uso local aproximado · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageAvailable,Margen del navegador,Margen del navegador · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageMediaPayload,Evidencias multimedia,Evidencias multimedia · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
lastFullBackup,Última copia completa,Última copia completa · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageAudios,Audios,Audios · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageProtectionTitle,Protección del almacenamiento,Protección del almacenamiento · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageProtectionChecking,Comprobando…,Comprobando… · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageProtectionPersistent,Persistente solicitado y concedido por el navegador.,Persistente solicitado y concedido por el navegador. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageProtectionStandard,Almacenamiento estándar del navegador. Conviene mantener copias periódicas.,Almacenamiento estándar del navegador. Conviene mantener copias periódicas. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageProtectionUnsupported,Este navegador no informa sobre almacenamiento persistente.,Este navegador no informa sobre almacenamiento persistente. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
requestStorageProtection,SOLICITAR PROTECCIÓN,SOLICITAR PROTECCIÓN · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageProtectionGranted,El navegador concedió almacenamiento persistente.,El navegador concedió almacenamiento persistente. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageProtectionDenied,El navegador no concedió almacenamiento persistente.,El navegador no concedió almacenamiento persistente. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
backupNow,HACER COPIA ZIP AHORA,HACER COPIA ZIP AHORA · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
refreshStorage,ACTUALIZAR,ACTUALIZAR · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageEstimateHelp,La estimación corresponde a la cuota del navegador y no al espacio libre total del teléfono.,La estimación corresponde a la cuota del navegador y no al espacio libre total del teléfono. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageNoRecords,Aún no hay registros guardados.,Aún no hay registros guardados. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageBackupMissing,Todavía no consta una copia completa.,Todavía no consta una copia completa. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageBackupPending,Hay registros posteriores a la última copia.,Hay registros posteriores a la última copia. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageBackupCurrent,La copia completa está al día respecto del último registro guardado.,La copia completa está al día respecto del último registro guardado. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageQuotaHigh,La cuota local del navegador está muy utilizada.,La cuota local del navegador está muy utilizada. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageNotAvailable,No disponible,No disponible · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageNever,Nunca,Nunca · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
backupTypeZip,ZIP,ZIP · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
backupTypeFolder,Carpeta,Carpeta · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageBackupRecorded,Copia completa registrada.,Copia completa registrada. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
storageRefreshDone,Estadísticas actualizadas.,Estadísticas actualizadas. · WY revisión,PENDIENTE DE REVISIÓN LOCAL,,,Módulo v0.5.21. No se afirma traducción validada.
